experiment_TF_family	best_motifs_family
other	other
other	Homeo domain factors{3.1}
Basic helix-loop-helix factors (bHLH){1.2}	Basic helix-loop-helix factors (bHLH){1.2}
Nuclear receptors with C4 zinc fingers{2.1}	Nuclear receptors with C4 zinc fingers{2.1}
other	Fork head / winged helix factors{3.3}
other	Uncharacterized{0.0}
other	Tryptophan cluster factors{3.5}
Basic helix-loop-helix factors (bHLH){1.2}	Basic helix-loop-helix factors (bHLH){1.2}
Basic helix-loop-helix factors (bHLH){1.2}	Basic helix-loop-helix factors (bHLH){1.2}
Basic helix-loop-helix factors (bHLH){1.2}	Basic helix-loop-helix factors (bHLH){1.2}
Basic leucine zipper factors (bZIP){1.1}	Basic leucine zipper factors (bZIP){1.1}
Basic leucine zipper factors (bZIP){1.1}	Basic leucine zipper factors (bZIP){1.1}
Basic leucine zipper factors (bZIP){1.1}	Basic leucine zipper factors (bZIP){1.1}
Basic leucine zipper factors (bZIP){1.1}	Basic leucine zipper factors (bZIP){1.1}
Basic leucine zipper factors (bZIP){1.1}	Basic leucine zipper factors (bZIP){1.1}
Basic leucine zipper factors (bZIP){1.1}	Basic leucine zipper factors (bZIP){1.1}
Basic leucine zipper factors (bZIP){1.1}	Basic leucine zipper factors (bZIP){1.1}
C2H2 zinc finger factors{2.3}	Runt domain factors{6.4}
Rel homology region (RHR) factors{6.1}	other
C2H2 zinc finger factors{2.3}	Tryptophan cluster factors{3.5}
Basic helix-loop-helix factors (bHLH){1.2}	Basic helix-loop-helix factors (bHLH){1.2}
Basic helix-loop-helix factors (bHLH){1.2}	Basic helix-loop-helix factors (bHLH){1.2}
Homeo domain factors{3.1}	Homeo domain factors{3.1}
Basic leucine zipper factors (bZIP){1.1}	Basic leucine zipper factors (bZIP){1.1}
Basic leucine zipper factors (bZIP){1.1}	Basic leucine zipper factors (bZIP){1.1}
Basic leucine zipper factors (bZIP){1.1}	Basic helix-loop-helix factors (bHLH){1.2}
Basic leucine zipper factors (bZIP){1.1}	Basic leucine zipper factors (bZIP){1.1}
Basic helix-loop-helix factors (bHLH){1.2}	Basic helix-loop-helix factors (bHLH){1.2}
Basic leucine zipper factors (bZIP){1.1}	Basic leucine zipper factors (bZIP){1.1}
Basic leucine zipper factors (bZIP){1.1}	C2H2 zinc finger factors{2.3}
Basic leucine zipper factors (bZIP){1.1}	Basic leucine zipper factors (bZIP){1.1}
Basic leucine zipper factors (bZIP){1.1}	Basic leucine zipper factors (bZIP){1.1}
C2H2 zinc finger factors{2.3}	C2H2 zinc finger factors{2.3}
C2H2 zinc finger factors{2.3}	C2H2 zinc finger factors{2.3}
Homeo domain factors{3.1}	Homeo domain factors{3.1}
Other C4 zinc finger-type factors{2.2}	C2H2 zinc finger factors{2.3}
Homeo domain factors{3.1}	Homeo domain factors{3.1}
Fork head / winged helix factors{3.3}	Fork head / winged helix factors{3.3}
Fork head / winged helix factors{3.3}	Fork head / winged helix factors{3.3}
Fork head / winged helix factors{3.3}	Fork head / winged helix factors{3.3}
Fork head / winged helix factors{3.3}	Basic leucine zipper factors (bZIP){1.1}
Rel homology region (RHR) factors{6.1}	Rel homology region (RHR) factors{6.1}
C2H2 zinc finger factors{2.3}	C2H2 zinc finger factors{2.3}
Tryptophan cluster factors{3.5}	Tryptophan cluster factors{3.5}
Tryptophan cluster factors{3.5}	Tryptophan cluster factors{3.5}
Tryptophan cluster factors{3.5}	Tryptophan cluster factors{3.5}
Tryptophan cluster factors{3.5}	Tryptophan cluster factors{3.5}
other	Other C4 zinc finger-type factors{2.2}
Tryptophan cluster factors{3.5}	Tryptophan cluster factors{3.5}
Nuclear receptors with C4 zinc fingers{2.1}	Nuclear receptors with C4 zinc fingers{2.1}
Nuclear receptors with C4 zinc fingers{2.1}	Nuclear receptors with C4 zinc fingers{2.1}
Tryptophan cluster factors{3.5}	Tryptophan cluster factors{3.5}
Tryptophan cluster factors{3.5}	Tryptophan cluster factors{3.5}
Tryptophan cluster factors{3.5}	Tryptophan cluster factors{3.5}
Tryptophan cluster factors{3.5}	Tryptophan cluster factors{3.5}
Tryptophan cluster factors{3.5}	Tryptophan cluster factors{3.5}
Basic leucine zipper factors (bZIP){1.1}	Basic leucine zipper factors (bZIP){1.1}
Basic leucine zipper factors (bZIP){1.1}	Basic leucine zipper factors (bZIP){1.1}
Basic leucine zipper factors (bZIP){1.1}	Basic leucine zipper factors (bZIP){1.1}
Fork head / winged helix factors{3.3}	Fork head / winged helix factors{3.3}
Fork head / winged helix factors{3.3}	Fork head / winged helix factors{3.3}
Fork head / winged helix factors{3.3}	Fork head / winged helix factors{3.3}
Fork head / winged helix factors{3.3}	Basic leucine zipper factors (bZIP){1.1}
Fork head / winged helix factors{3.3}	Fork head / winged helix factors{3.3}
Fork head / winged helix factors{3.3}	Fork head / winged helix factors{3.3}
Fork head / winged helix factors{3.3}	Fork head / winged helix factors{3.3}
Tryptophan cluster factors{3.5}	Tryptophan cluster factors{3.5}
Other C4 zinc finger-type factors{2.2}	Other C4 zinc finger-type factors{2.2}
Other C4 zinc finger-type factors{2.2}	Other C4 zinc finger-type factors{2.2}
Other C4 zinc finger-type factors{2.2}	Other C4 zinc finger-type factors{2.2}
Other C4 zinc finger-type factors{2.2}	Other C4 zinc finger-type factors{2.2}
Other C4 zinc finger-type factors{2.2}	Other C4 zinc finger-type factors{2.2}
Other C4 zinc finger-type factors{2.2}	Tryptophan cluster factors{3.5}
C2H2 zinc finger factors{2.3}	Heteromeric CCAAT-binding factors{4.2}
other	other
High-mobility group (HMG) domain factors{4.1}	Tryptophan cluster factors{3.5}
Homeo domain factors{3.1}	Fork head / winged helix factors{3.3}
Basic helix-loop-helix factors (bHLH){1.2}	Basic helix-loop-helix factors (bHLH){1.2}
Homeo domain factors{3.1}	Homeo domain factors{3.1}
Homeo domain factors{3.1}	Homeo domain factors{3.1}
Nuclear receptors with C4 zinc fingers{2.1}	Nuclear receptors with C4 zinc fingers{2.1}
Nuclear receptors with C4 zinc fingers{2.1}	Nuclear receptors with C4 zinc fingers{2.1}
Homeo domain factors{3.1}	Homeo domain factors{3.1}
Homeo domain factors{3.1}	Homeo domain factors{3.1}
other	other
Basic helix-loop-helix factors (bHLH){1.2}	Nuclear receptors with C4 zinc fingers{2.1}
C2H2 zinc finger factors{2.3}	Other C4 zinc finger-type factors{2.2}
Tryptophan cluster factors{3.5}	Tryptophan cluster factors{3.5}
Tryptophan cluster factors{3.5}	Tryptophan cluster factors{3.5}
Tryptophan cluster factors{3.5}	Tryptophan cluster factors{3.5}
Tryptophan cluster factors{3.5}	Basic leucine zipper factors (bZIP){1.1}
Basic leucine zipper factors (bZIP){1.1}	Basic leucine zipper factors (bZIP){1.1}
Basic leucine zipper factors (bZIP){1.1}	Basic leucine zipper factors (bZIP){1.1}
Basic leucine zipper factors (bZIP){1.1}	Basic leucine zipper factors (bZIP){1.1}
other	Tryptophan cluster factors{3.5}
